loss,step,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
[10.156154, 10.061871, 10.212649, 10.218599],0,,,,,,,,,,
[0.3718861, 0.3637054, 0.41099656, 0.3924984],100,,,,,,,,,,
[0.03363754, 0.030504636, 0.03752137, 0.037769042],200,,,,,,,,,,
[0.020138197, 0.01687992, 0.01751609, 0.019634066],300,,,,,,,,,,
[0.017354392, 0.014218805, 0.014089928, 0.012738898],400,,,,,,,,,,
[0.008146602, 0.007663965, 0.008942261, 0.009670656],500,,,,,,,,,,
[0.008687724, 0.009981332, 0.009573693, 0.012951451],600,,,,,,,,,,
[0.005020414, 0.0054431576, 0.004854432, 0.00592444],700,,,,,,,,,,
[0.004294519, 0.0035213912, 0.003842338, 0.0042370996],800,,,,,,,,,,
[0.00286007, 0.0029219815, 0.0048044785, 0.0028902616],900,,,,,,,,,,
[0.004757562, 0.0034439266, 0.004335488, 0.0047913943],1000,,,,,,,,,,
[0.0034942445, 0.0032455681, 0.0029476755, 0.0038757883],1100,,,,,,,,,,
[0.0035255733, 0.0026834388, 0.0024430947, 0.0031061226],1200,,,,,,,,,,
[0.0023234964, 0.002064872, 0.0029268349, 0.0020649831],1300,,,,,,,,,,
[0.0058185654, 0.002852424, 0.0029172185, 0.0036261925],1400,,,,,,,,,,
[0.0032906306, 0.0026469692, 0.0025086156, 0.0029855869],1500,,,,,,,,,,
[0.004442203, 0.0022152243, 0.0028880606, 0.0028334637],1600,,,,,,,,,,
[0.0021181898, 0.0019545238, 0.0024201358, 0.002101555],1700,,,,,,,,,,
[0.0018061907, 0.0022327495, 0.0025679613, 0.002275536],1800,,,,,,,,,,
[0.0017774183, 0.001769907, 0.0015306396, 0.0023442942],1900,,,,,,,,,,
,,0,0.0,1.0,0.0,1.0,20.0,-3.656726,0.1,44.0,0.0
,,1,0.0,1.0,0.0,1.0,40.0,-4.291406,0.1,84.0,0.05
,,2,0.0,1.0,0.0,1.0,60.0,-5.0270405,0.05,124.0,0.075
,,3,0.0,1.0,0.0,1.0,80.0,-5.16973,0.05,164.0,0.1
,,4,0.0,1.0,0.0,1.0,100.0,-5.2706566,0.3,204.0,0.075
,,5,0.0,1.0,0.0,1.0,120.0,-5.1380544,0.15,244.0,0.175
,,6,0.0,1.0,0.0,1.0,140.0,-5.1025076,0.3,284.0,0.125
,,7,0.0,1.0,0.0,1.0,160.0,-4.6091523,0.2,324.0,0.15
,,8,0.0,1.0,0.0,1.0,180.0,-4.409818,0.5,364.0,0.125
,,9,0.0,1.0,0.0,1.0,200.0,-4.810614,0.5,404.0,0.1
,,10,0.0,1.0,0.0,1.0,220.0,-4.461753,0.65,444.0,0.225
,,11,0.0,1.0,0.0,1.0,240.0,-5.305636,0.25,484.0,0.125
,,12,0.0,1.0,0.0,1.0,260.0,-4.9814777,0.5,524.0,0.225
,,13,0.0,1.0,0.0,1.0,280.0,-4.3226023,0.6,564.0,0.325
,,14,0.0,1.0,0.0,1.0,300.0,-4.7990737,0.6,604.0,0.125
,,15,0.0,1.0,0.0,1.0,320.0,-4.0027742,0.25,644.0,0.25
,,16,0.0,1.0,0.0,1.0,340.0,-5.4841046,0.8,684.0,0.175
,,17,0.0,1.0,0.0,1.0,360.0,-4.7663045,0.85,724.0,0.25
,,18,0.0,1.0,0.0,1.0,380.0,-4.9857197,0.6,764.0,0.125
,,19,0.0,1.0,0.0,1.0,400.0,-3.8792922,0.8,804.0,0.125
,,20,0.0,1.0,0.0,1.0,420.0,-5.2735167,0.95,844.0,0.225
,,21,0.0,1.0,0.0,1.0,440.0,-4.414711,0.8,884.0,0.275
,,22,0.0,1.0,0.0,1.0,460.0,-4.5191627,0.8,924.0,0.275
,,23,0.0,1.0,0.0,1.0,480.0,-4.2869897,0.95,964.0,0.35
,,24,0.0,1.0,0.0,1.0,500.0,-4.041445,1.0,1004.0,0.3
,,25,0.0,1.0,0.0,1.0,520.0,-4.5579934,0.95,1044.0,0.35
,,26,0.0,1.0,0.0,1.0,540.0,-5.1266823,0.75,1084.0,0.35
,,27,0.0,1.0,0.0,1.0,560.0,-3.7600029,1.0,1124.0,0.15
,,28,0.0,1.0,0.0,1.0,580.0,-4.138853,1.0,1164.0,0.5
,,29,0.0,1.0,0.0,1.0,600.0,-3.9641588,1.0,1204.0,0.4
