epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,test/total_reward,train/episode,train/success_rate,train/total_reward
0,0.0,0.01,-0.239848,0.5028442,20.0,3.4921975,1.0,13.9,16.0,0.25,2.1875
1,0.0,0.01,-0.11053258,0.44002727,40.0,3.1153445,0.45,7.3,32.0,0.375,6.3125
2,0.0,0.01,-0.057962485,0.38747174,60.0,2.8540611,0.5,7.4,48.0,0.25,6.0625
3,0.0,0.01,-0.04685576,0.35566434,80.0,3.3954778,0.45,7.45,64.0,0.3125,7.75
4,0.0,0.01,-0.038314104,0.33824933,100.0,3.1046107,0.3,7.5,80.0,0.3125,5.9375
5,0.0,0.01,-0.037371352,0.34256527,120.0,2.8882911,0.55,7.8,96.0,0.5,7.375
6,0.0,0.01,-0.030880647,0.33120856,140.0,3.0052269,1.0,14.3,112.0,0.5,9.1875
7,0.0,0.01,-0.021947512,0.32348314,160.0,3.2676587,1.0,14.05,128.0,0.75,9.5
8,0.0,0.01,-0.018882314,0.31930226,180.0,3.283893,1.0,14.25,144.0,0.75,10.625
9,0.0,0.01,-0.014094544,0.31123224,200.0,2.9995103,1.0,14.2,160.0,0.875,11.625
10,0.0,0.01,-0.010103713,0.30765152,220.0,2.6665883,1.0,14.65,176.0,0.9375,9.625
11,0.0,0.01,-0.007868531,0.3015342,240.0,2.9490526,1.0,14.7,192.0,0.875,10.375
12,0.0,0.01,-0.014805712,0.30169398,260.0,2.785133,1.0,14.7,208.0,0.625,9.9375
13,0.0,0.01,-0.015045701,0.29901686,280.0,3.6834373,1.0,14.25,224.0,0.6875,10.25
14,0.0,0.01,-0.016998947,0.29605928,300.0,4.215017,1.0,14.45,240.0,0.875,10.125
15,0.0,0.01,-0.01633613,0.29142892,320.0,3.8952954,1.0,14.2,256.0,0.8125,11.5
16,0.0,0.01,-0.018228658,0.28855577,340.0,3.4218364,1.0,14.95,272.0,0.8125,11.5
17,0.0,0.01,-0.017195143,0.28423873,360.0,3.8366294,1.0,14.5,288.0,0.875,11.4375
18,0.0,0.01,-0.016698366,0.28246686,380.0,3.8599782,1.0,14.95,304.0,0.5625,10.3125
19,0.0,0.01,-0.016372543,0.2814314,400.0,5.613646,1.0,13.9,320.0,0.6875,10.5
20,0.0,0.01,-0.014863403,0.27980387,420.0,4.7777,1.0,14.45,336.0,0.8125,11.25
21,0.0,0.01,-0.0114311045,0.2790728,440.0,5.4341216,1.0,14.1,352.0,0.8125,10.6875
22,0.0,0.01,-0.012922189,0.2779602,460.0,4.606405,1.0,14.6,368.0,0.6875,10.8125
23,0.0,0.01,-0.009833718,0.27792302,480.0,5.676503,1.0,14.0,384.0,0.75,9.6875
24,0.0,0.01,-0.009411928,0.27668247,500.0,5.8311057,1.0,14.0,400.0,0.8125,10.0
25,0.0,0.01,-0.006595816,0.2774274,520.0,5.138663,1.0,14.75,416.0,0.5625,9.875
26,0.0,0.01,-0.007182725,0.27506745,540.0,5.4575477,1.0,14.25,432.0,0.75,10.75
27,0.0,0.01,-0.010950508,0.27709958,560.0,5.437397,1.0,14.55,448.0,0.8125,9.1875
28,0.0,0.01,-0.012647903,0.27563012,580.0,6.8353157,1.0,14.25,464.0,0.6875,10.4375
29,0.0,0.01,-0.011837249,0.27390373,600.0,6.471718,1.0,14.45,480.0,0.9375,10.625
30,0.0,0.01,-0.012229601,0.27316722,620.0,6.0523453,1.0,14.65,496.0,0.5625,9.75
31,0.0,0.01,-0.011636109,0.2720456,640.0,6.395517,1.0,14.45,512.0,0.8125,10.625
